,state,county,2019,2020,2021,2020 yoy diff,2021 yoy diff
0,Alabama,Bibb County,151395.0,162309.625,187903.75,10914.625,25594.125
1,Alabama,Blount County,158720.83333333334,171620.83333333334,190208.33333333334,12900.0,18587.5
2,Alabama,Calhoun County,121670.75,133383.33333333334,155604.16666666666,11712.583333333343,22220.833333333314
3,Alabama,Cherokee County,152379.16666666666,188840.0,206968.75,36460.83333333334,18128.75
4,Alabama,Chilton County,,302500.0,201375.0,,-101125.0
5,Alabama,Clay County,127125.5,146335.41666666666,152000.0,19209.916666666657,5664.583333333343
6,Alabama,Cleburne County,163587.5,169925.0,177166.66666666666,6337.5,7241.666666666657
7,Alabama,Coosa County,152652.27272727274,204787.5,197925.0,52135.227272727265,-6862.5
8,Alabama,Cullman County,157360.79166666666,195164.375,231528.91666666666,37803.58333333334,36364.54166666666
9,Alabama,DeKalb County,131687.91666666666,156916.0,177377.08333333334,25228.083333333343,20461.083333333343
10,Alabama,Etowah County,138629.16666666666,154247.04166666666,171445.83333333334,15617.875,17198.791666666686
11,Alabama,Jackson County,141712.5,157777.91666666666,182770.83333333334,16065.416666666657,24992.916666666686
12,Alabama,Jefferson County,204632.0,227107.75,244078.33333333334,22475.75,16970.583333333343
13,Alabama,Lawrence County,113843.66666666667,156883.25,167375.0,43039.58333333333,10491.75
14,Alabama,Limestone County,225396.5,246077.45833333334,287834.75,20680.958333333343,41757.29166666666
15,Alabama,Madison County,215529.45833333334,241907.29166666666,283346.7083333333,26377.833333333314,41439.41666666666
16,Alabama,Marshall County,149557.125,165291.66666666666,209175.0,15734.541666666657,43883.33333333334
17,Alabama,Morgan County,156923.75,175686.16666666666,204467.29166666666,18762.416666666657,28781.125
18,Alabama,Randolph County,190750.0,272241.6666666667,251254.16666666666,81491.66666666669,-20987.50000000003
19,Alabama,Shelby County,242733.33333333334,259698.04166666666,293037.0833333333,16964.708333333314,33339.04166666666
20,Alabama,St. Clair County,196943.91666666666,218052.125,251725.66666666666,21108.208333333343,33673.54166666666
21,Alabama,Talladega County,143230.375,158303.375,175391.66666666666,15073.0,17088.291666666657
22,Alaska,Anchorage Borough,309289.75,328058.3333333333,345458.3333333333,18768.583333333314,17400.0
23,Alaska,Fairbanks North Star Borough,245429.16666666666,245087.5,280800.0,-341.66666666665697,35712.5
24,Alaska,Kenai Peninsula Borough,231123.95833333334,250631.25,273956.7083333333,19507.291666666657,23325.458333333314
25,Alaska,Kodiak Island Borough,311104.1666666667,322666.6666666667,357416.6666666667,11562.5,34750.0
26,Alaska,Matanuska-Susitna Borough,260147.08333333334,282506.4583333333,322021.625,22359.37499999997,39515.166666666686
27,Arizona,Cochise County,151497.91666666666,179154.16666666666,229579.16666666666,27656.25,50425.0
28,Arizona,Coconino County,382042.9583333333,426081.3333333333,545032.5,44038.375,118951.16666666669
29,Arizona,Gila County,284045.8333333333,324162.5,406833.3333333333,40116.666666666686,82670.83333333331
30,Arizona,Maricopa County,289808.3333333333,328450.0,411758.3333333333,38641.666666666686,83308.33333333331
31,Arizona,Navajo County,261372.91666666666,297404.1666666667,355762.5,36031.25000000003,58358.333333333314
32,Arizona,Pima County,225851.83333333334,249614.66666666666,303762.5,23762.833333333314,54147.83333333334
33,Arizona,Pinal County,228947.29166666666,258165.41666666666,340670.4166666667,29218.125,82505.00000000003
34,Arizona,Santa Cruz County,185445.83333333334,214912.5,248047.91666666666,29466.666666666657,33135.41666666666
35,Arizona,Yavapai County,335905.9166666667,372704.4166666667,460829.1666666667,36798.5,88124.75
36,Arkansas,Arkansas County,66488.88888888889,103872.72727272728,128654.54545454546,37383.83838383839,24781.818181818177
37,Arkansas,Ashley County,85000.0,158875.0,105000.0,73875.0,-53875.0
38,Arkansas,Baxter County,121958.29166666667,130462.5,176751.375,8504.208333333328,46288.875
39,Arkansas,Benton County,216066.66666666666,238435.66666666666,275380.125,22369.0,36944.45833333334
40,Arkansas,Boone County,131438.88888888888,135514.54545454544,174715.0,4075.6565656565654,39200.45454545456
41,Arkansas,Bradley County,100862.5,94929.16666666667,104074.16666666667,-5933.3333333333285,9145.0
42,Arkansas,Calhoun County,105000.0,765000.0,105500.0,660000.0,-659500.0
43,Arkansas,Carroll County,173202.08333333334,188391.66666666666,221275.0,15189.583333333314,32883.33333333334
44,Arkansas,Chicot County,161333.33333333334,193931.25,123908.33333333333,32597.916666666657,-70022.91666666667
45,Arkansas,Clark County,127670.70833333333,124670.45833333333,151645.83333333334,-3000.25,26975.375000000015
46,Arkansas,Clay County,71809.09090909091,79062.5,92720.83333333333,7253.409090909088,13658.333333333328
47,Arkansas,Cleburne County,162737.5,187097.91666666666,207177.08333333334,24360.416666666657,20079.166666666686
48,Arkansas,Cleveland County,77000.0,107550.0,133804.16666666666,30550.0,26254.166666666657
49,Arkansas,Columbia County,129500.0,180000.0,138125.0,50500.0,-41875.0
50,Arkansas,Conway County,102041.66666666667,125791.04166666667,131737.5,23749.375,5946.4583333333285
51,Arkansas,Craighead County,155268.20833333334,172118.75,185672.91666666666,16850.541666666657,13554.166666666657
52,Arkansas,Crawford County,164383.33333333334,180750.0,228575.0,16366.666666666657,47825.0
53,Arkansas,Crittenden County,187508.54545454544,119335.71428571429,161584.0909090909,-68172.83116883115,42248.37662337662
54,Arkansas,Cross County,114359.25,145872.5,144580.54166666666,31513.25,-1291.958333333343
55,Arkansas,Dallas County,62166.666666666664,62345.0,136635.7142857143,178.33333333333576,74290.71428571429
56,Arkansas,Desha County,101620.83333333333,91104.54545454546,88323.75,-10516.287878787873,-2780.795454545456
57,Arkansas,Drew County,128183.16666666667,126687.81818181818,189562.5,-1495.348484848495,62874.68181818182
58,Arkansas,Faulkner County,170154.91666666666,183888.91666666666,201501.04166666666,13734.0,17612.125
59,Arkansas,Franklin County,215950.0,137725.0,377488.8888888889,-78225.0,239763.88888888888
60,Arkansas,Fulton County,124556.77272727272,111904.16666666667,170808.33333333334,-12652.60606060605,58904.16666666667
61,Arkansas,Garland County,164579.16666666666,182172.91666666666,218854.16666666666,17593.75,36681.25
62,Arkansas,Grant County,156070.83333333334,159052.08333333334,184270.83333333334,2981.25,25218.75
63,Arkansas,Greene County,133751.08333333334,145071.33333333334,158731.25,11320.25,13659.916666666657
64,Arkansas,Hempstead County,104992.85714285714,124222.33333333333,130361.11111111111,19229.476190476184,6138.777777777781
65,Arkansas,Hot Spring County,109604.16666666667,133127.08333333334,141004.16666666666,23522.91666666667,7877.083333333314
66,Arkansas,Howard County,137558.33333333334,136958.33333333334,165004.16666666666,-600.0,28045.833333333314
67,Arkansas,Independence County,124533.95833333333,127278.63636363637,158866.66666666666,2744.678030303039,31588.03030303029
68,Arkansas,Izard County,102941.66666666667,116983.33333333333,145820.83333333334,14041.666666666657,28837.500000000015
69,Arkansas,Jackson County,69478.57142857143,60965.0,97560.0,-8513.571428571435,36595.0
70,Arkansas,Jefferson County,97497.91666666667,101375.0,126191.66666666667,3877.0833333333285,24816.66666666667
71,Arkansas,Johnson County,191659.0909090909,186000.0,153571.5,-5659.090909090912,-32428.5
72,Arkansas,Lafayette County,84000.0,55999.0,85000.0,-28001.0,29001.0
73,Arkansas,Lawrence County,98300.66666666667,96098.875,101522.72727272728,-2201.7916666666715,5423.852272727279
74,Arkansas,Lee County,61000.0,22500.0,,-38500.0,
75,Arkansas,Lincoln County,89200.0,104159.09090909091,125525.0,14959.090909090912,21365.90909090909
76,Arkansas,Little River County,164500.0,92285.71428571429,181625.0,-72214.28571428571,89339.28571428571
77,Arkansas,Logan County,135850.0,248393.91666666666,228902.5,112543.91666666666,-19491.416666666657
78,Arkansas,Lonoke County,153738.33333333334,164297.5,182889.29166666666,10559.166666666657,18591.791666666657
79,Arkansas,Madison County,143983.33333333334,175427.08333333334,185385.0,31443.75,9957.916666666657
80,Arkansas,Marion County,98432.14285714286,178390.9090909091,178429.16666666666,79958.76623376623,38.2575757575687
81,Arkansas,Miller County,151485.0,183379.16666666666,210881.81818181818,31894.166666666657,27502.65151515152
82,Arkansas,Mississippi County,127508.33333333333,134487.5,139157.5,6979.1666666666715,4670.0
83,Arkansas,Monroe County,125714.28571428571,92468.75,81840.0,-33245.53571428571,-10628.75
84,Arkansas,Montgomery County,152970.83333333334,151458.33333333334,191191.625,-1512.5,39733.29166666666
85,Arkansas,Nevada County,74500.0,58500.0,95000.0,-16000.0,36500.0
86,Arkansas,Newton County,170000.0,271130.0,447325.0,101130.0,176195.0
87,Arkansas,Ouachita County,59821.25,56500.0,109250.0,-3321.25,52750.0
88,Arkansas,Perry County,118702.75,138903.04166666666,148516.45833333334,20200.291666666657,9613.416666666686
89,Arkansas,Phillips County,119500.0,84237.5,103664.28571428571,-35262.5,19426.78571428571
90,Arkansas,Pike County,123478.66666666667,116141.66666666667,137566.66666666666,-7337.0,21424.999999999985
91,Arkansas,Poinsett County,93056.25,107583.33333333333,120516.66666666667,14527.083333333328,12933.333333333343
92,Arkansas,Polk County,105229.16666666667,125308.33333333333,149258.33333333334,20079.166666666657,23950.000000000015
93,Arkansas,Pope County,158012.5,150054.16666666666,165281.25,-7958.333333333343,15227.083333333343
94,Arkansas,Prairie County,67508.33333333333,148231.25,163837.5,80722.91666666667,15606.25
95,Arkansas,Pulaski County,167665.41666666666,180713.45833333334,199727.08333333334,13048.041666666686,19013.625
96,Arkansas,Randolph County,105730.0,123121.625,182212.5,17391.625,59090.875
97,Arkansas,Saline County,173688.41666666666,188168.0,218270.83333333334,14479.583333333343,30102.833333333343
98,Arkansas,Scott County,182000.0,124875.0,224609.375,-57125.0,99734.375
99,Arkansas,Searcy County,102837.5,155488.63636363635,143440.9090909091,52651.13636363635,-12047.727272727265
100,Arkansas,Sebastian County,130925.0,146413.63636363635,196516.625,15488.636363636353,50102.98863636365
101,Arkansas,Sevier County,153877.08333333334,152200.0,150543.75,-1677.083333333343,-1656.25
102,Arkansas,Sharp County,77954.16666666667,75652.08333333333,103937.5,-2302.083333333343,28285.41666666667
103,Arkansas,St. Francis County,81500.0,43917.166666666664,108187.5,-37582.833333333336,64270.333333333336
104,Arkansas,Stone County,139229.16666666666,138187.5,184558.33333333334,-1041.666666666657,46370.83333333334
105,Arkansas,Union County,55750.0,29704.666666666668,178531.125,-26045.333333333332,148826.45833333334
106,Arkansas,Van Buren County,81531.25,103647.91666666667,122387.54166666667,22116.66666666667,18739.625
107,Arkansas,Washington County,203349.70833333334,220707.16666666666,255149.16666666666,17357.458333333314,34442.0
108,Arkansas,White County,129630.04166666667,137057.29166666666,159358.33333333334,7427.249999999985,22301.041666666686
109,Arkansas,Woodruff County,71894.44444444444,61281.25,94506.81818181818,-10613.194444444438,33225.56818181818
110,Arkansas,Yell County,113431.81818181818,142275.5909090909,202950.0,28843.772727272735,60674.40909090909
111,California,Alameda County,827791.6666666666,882041.6666666666,1037125.0,54250.0,155083.33333333337
112,California,Alpine County,382071.4285714286,428772.22222222225,540681.8181818182,46700.79365079367,111909.59595959599
113,California,Amador County,325529.1666666667,346625.0,418564.9583333333,21095.833333333314,71939.95833333331
114,California,Butte County,339462.2083333333,361254.8333333333,404174.2916666667,21792.625,42919.45833333337
115,California,Calaveras County,351479.1666666667,356104.1666666667,445875.0,4625.0,89770.83333333331
116,California,Colusa County,317312.5,351000.0,346312.5,33687.5,-4687.5
117,California,Contra Costa County,621625.0,680666.6666666666,805708.3333333334,59041.66666666663,125041.66666666674
118,California,El Dorado County,493958.3333333333,521812.5,641125.0,27854.166666666686,119312.5
119,California,Fresno County,276682.0833333333,303958.3333333333,357229.1666666667,27276.25,53270.83333333337
120,California,Glenn County,261392.04166666666,296104.1666666667,322062.875,34712.12500000003,25958.708333333314
121,California,Kern County,242643.75,265989.5833333333,311620.8333333333,23345.833333333314,45631.25
122,California,Lake County,257666.66666666666,289854.1666666667,329258.3333333333,32187.50000000003,39404.16666666663
123,California,Los Angeles County,629479.1666666666,682916.6666666666,799604.1666666666,53437.5,116687.5
124,California,Madera County,278287.5,312595.8333333333,369595.8333333333,34308.333333333314,57000.0
125,California,Marin County,1152041.6666666667,1264375.0,1405416.6666666667,112333.33333333326,141041.66666666674
126,California,Mariposa County,461333.3333333333,456625.0,424050.0,-4708.333333333314,-32575.0
127,California,Merced County,282964.5833333333,308716.6666666667,367230.8333333333,25752.083333333372,58514.16666666663
128,California,Monterey County,600895.8333333334,685975.0,800479.1666666666,85079.16666666663,114504.16666666663
